trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.6, 'e': 0.8138330762829207}",30,0,-129.8306825761554,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
103,False,"{'a': 0.6, 'e': 0.812207036711939}",35,0,-17.512941237349096,"{0: 29, 1: 2, 2: 3, 3: 1, 4: 0}",0
104,False,"{'a': 0.6, 'e': 0.8105842459701871}",20,0,-83.07118328741106,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
105,False,"{'a': 0.6, 'e': 0.8089646975664998}",20,0,-37.709779605880975,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
106,False,"{'a': 0.6, 'e': 0.8073483850226815}",25,0,-42.707254596604905,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
107,False,"{'a': 0.6, 'e': 0.8057353018734796}",25,0,-97.2009065355816,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
108,False,"{'a': 0.6, 'e': 0.8041254416665596}",20,0,-233.8736329768881,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 6}",0
109,False,"{'a': 0.6, 'e': 0.8025187979624785}",30,0,-44.44706536448137,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
110,False,"{'a': 0.6, 'e': 0.8009153643346592}",20,0,-75.91597053230527,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
111,False,"{'a': 0.6, 'e': 0.7993151343693651}",20,6,-87.85935215892908,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
112,False,"{'a': 0.6, 'e': 0.7977181016656743}",25,0,-205.6064235505985,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
113,False,"{'a': 0.6, 'e': 0.7961242598354538}",20,4,-51.77585718544709,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
114,False,"{'a': 0.6, 'e': 0.794533602503334}",20,0,-49.8532759355477,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
115,False,"{'a': 0.6, 'e': 0.7929461233066837}",25,0,-137.72131931589468,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
116,False,"{'a': 0.6, 'e': 0.7913618158955839}",30,0,-34.29526166601722,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.6, 'e': 0.7897806739328027}",20,0,-71.53594821177768,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
118,False,"{'a': 0.6, 'e': 0.7882026910937704}",30,0,-112.29269026002218,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
119,False,"{'a': 0.6, 'e': 0.7866278610665535}",20,4,-59.327835464974825,"{0: 7, 1: 5, 2: 3, 3: 1, 4: 0}",1
120,False,"{'a': 0.6, 'e': 0.7850561775518295}",20,0,-19.703529071853005,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
121,False,"{'a': 0.6, 'e': 0.7834876342628625}",20,0,-76.38703031361764,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
122,False,"{'a': 0.6, 'e': 0.7819222249254772}",30,0,-92.28281733641343,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
123,False,"{'a': 0.6, 'e': 0.7803599432780343}",35,5,-186.39287738918918,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",1
124,False,"{'a': 0.6, 'e': 0.7788007830714049}",25,0,-134.95454622451865,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
125,False,"{'a': 0.6, 'e': 0.7772447380689461}",25,0,-90.31880923368476,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
126,False,"{'a': 0.6, 'e': 0.775691802046476}",30,0,-144.0654364225314,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
127,False,"{'a': 0.6, 'e': 0.7741419687922484}",30,0,-86.46040300774919,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
128,False,"{'a': 0.6, 'e': 0.772595232106928}",25,0,-126.50837032457856,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
129,False,"{'a': 0.6, 'e': 0.7710515858035663}",25,5,-42.26325365392575,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.6, 'e': 0.7695110237075758}",20,12,-60.11484417223031,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.6, 'e': 0.7679735396567061}",20,0,-17.201158610802402,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.6, 'e': 0.7664391275010192}",25,12,-96.55263562423546,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 2}",1
133,False,"{'a': 0.6, 'e': 0.764907781102864}",30,0,-87.85213076199283,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
134,False,"{'a': 0.6, 'e': 0.7633794943368531}",20,0,-93.02230479435639,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
135,False,"{'a': 0.6, 'e': 0.7618542610898376}",20,4,-53.849556548123346,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
